loss,min,avg,max,mdev
0%,27.174,28.264,29.535,0.972
0%,26.354,26.786,27.367,0.426
0%,24.285,24.920,25.796,0.639
0%,24.358,24.895,25.796,0.640
0%,24.554,25.426,26.655,0.893
0%,24.422,24.802,25.118,0.287
0%,24.679,25.557,26.898,0.962
0%,24.876,25.337,26.092,0.538
0%,24.721,25.005,25.462,0.325
0%,26.281,26.745,27.365,0.455
0%,29.475,60.182,98.988,28.950
0%,28.616,60.476,95.001,27.166
0%,26.420,51.910,102.442,35.731
0%,102.244,115.764,122.977,9.567
0%,25.060,64.124,142.095,55.133
0%,25.035,80.696,133.713,44.407
0%,25.004,72.083,105.332,34.220
0%,24.647,67.459,153.060,60.528
0%,24.819,38.533,60.381,15.615
0%,25.144,85.163,120.388,42.652
0%,24.312,62.321,137.339,53.047
0%,25.578,26.151,26.658,0.443
0%,26.142,27.453,28.416,0.960
0%,25.000,26.413,28.007,1.234
0%,24.706,24.872,25.066,0.148
0%,24.370,24.581,24.777,0.166
0%,24.923,25.596,26.060,0.487
0%,25.102,25.203,25.395,0.135
0%,25.078,25.506,26.218,0.506
0%,24.452,25.122,25.735,0.525
0%,24.548,24.904,25.334,0.324
0%,25.148,26.204,28.181,1.399
0%,24.620,24.810,24.995,0.153
0%,26.163,26.566,27.092,0.389
0%,27.635,27.843,28.136,0.212
0%,27.379,36.651,55.143,13.075
0%,26.196,37.183,57.663,14.494
0%,26.499,26.717,26.980,0.198
0%,24.556,24.780,24.953,0.166
0%,24.621,24.841,25.175,0.240
0%,24.514,24.675,24.789,0.117
0%,24.797,24.974,25.074,0.125
0%,24.524,24.730,24.848,0.146
0%,24.955,25.068,25.191,0.096
0%,24.404,24.704,25.182,0.341
0%,25.176,25.480,25.861,0.284
0%,24.613,24.800,24.953,0.140
0%,24.416,24.625,24.909,0.208
0%,24.384,24.820,25.078,0.310
0%,26.342,27.037,27.686,0.549
0%,25.986,35.582,54.394,13.302
0%,65.861,69.174,73.879,3.417
0%,26.414,28.510,29.726,1.488
0%,26.313,26.340,26.364,0.020
0%,24.410,25.013,25.413,0.433
0%,24.613,25.245,26.200,0.686
0%,24.707,24.814,24.939,0.095
0%,24.433,24.888,25.136,0.322
0%,24.558,24.935,25.312,0.307
0%,24.311,24.626,25.016,0.292
0%,24.196,25.406,27.271,1.337
0%,24.809,24.924,24.986,0.081
0%,27.003,28.084,28.640,0.764
0%,46.000,52.760,58.426,5.131
0%,34.485,46.929,57.732,9.561
0%,54.031,58.713,63.166,3.732
0%,24.626,25.080,25.853,0.549
0%,24.799,25.556,26.272,0.602
0%,24.338,24.670,25.291,0.439
0%,24.295,26.071,29.451,2.390
0%,24.853,25.580,26.517,0.695
0%,24.928,25.177,25.338,0.178
0%,24.817,25.183,25.539,0.294
0%,24.650,25.023,25.446,0.326
0%,29.425,29.626,29.757,0.144
0%,92.294,101.698,107.761,6.742
0%,56.272,87.758,120.844,26.385
0%,33.549,81.894,107.358,34.201
0%,27.026,27.661,28.182,0.478
0%,26.041,26.766,27.132,0.512
0%,24.440,25.589,26.232,0.814
0%,24.416,25.775,28.103,1.653
0%,24.653,25.361,25.888,0.520
0%,24.479,24.558,24.644,0.067
0%,24.817,26.713,28.293,1.436
0%,24.522,24.750,24.992,0.192
0%,26.181,27.197,28.264,0.851
0%,26.479,26.652,26.914,0.188
0%,55.041,67.494,86.070,13.386
0%,98.464,104.584,109.213,4.513
0%,106.765,115.846,123.684,6.962
0%,26.198,26.244,26.271,0.033
0%,25.722,27.549,29.593,1.587
0%,24.411,24.723,25.103,0.286
0%,24.445,25.001,25.770,0.561
0%,24.377,24.854,25.485,0.465
0%,24.860,25.418,26.024,0.476
0%,24.355,25.107,26.438,0.943
0%,24.594,25.152,25.960,0.584
0%,28.454,29.229,29.874,0.587
0%,26.374,26.973,27.411,0.438
0%,112.415,120.447,127.916,6.340
0%,90.303,96.014,99.389,4.060
0%,102.639,115.492,127.753,10.261
0%,86.283,100.159,116.442,12.429
0%,28.786,28.961,29.198,0.173
0%,27.148,28.283,28.982,0.810
0%,25.710,26.985,28.528,1.165
0%,28.277,28.546,28.791,0.210
0%,27.053,27.529,28.256,0.521
0%,25.204,25.928,27.051,0.805
0%,24.931,27.320,29.331,1.816
0%,27.111,27.916,29.038,0.818
0%,24.949,26.946,28.170,1.424
0%,27.116,28.857,31.131,1.681
0%,26.808,27.013,27.193,0.158
0%,28.138,29.117,30.193,0.841
0%,27.806,28.415,29.633,0.860
0%,28.692,28.947,29.121,0.184
0%,26.859,27.706,28.288,0.613
0%,25.068,25.576,26.570,0.702
0%,26.884,28.161,29.186,0.956
0%,27.075,27.699,28.633,0.672
0%,27.388,27.948,28.941,0.703
0%,27.778,28.130,28.666,0.385
0%,26.747,27.422,28.493,0.765
0%,26.747,28.090,29.177,1.008
0%,26.446,26.801,27.207,0.312
0%,25.197,26.742,28.443,1.329
0%,27.049,28.109,29.395,0.970
0%,26.953,27.192,27.375,0.176
0%,27.104,27.866,28.579,0.603
0%,26.623,27.211,28.301,0.771
0%,26.286,26.737,27.147,0.352
0%,27.155,27.666,28.460,0.569
0%,28.536,28.741,29.096,0.251
0%,26.599,27.237,28.449,0.857
0%,25.106,26.053,26.813,0.709
0%,27.882,28.928,30.155,0.936
0%,27.347,27.893,28.213,0.387
0%,26.556,27.354,28.446,0.798
0%,26.667,27.909,30.116,1.564
0%,26.999,27.852,28.488,0.627
0%,27.561,64.133,135.472,50.449
0%,28.568,30.436,33.602,2.250
0%,26.673,28.441,29.721,1.291
0%,27.006,28.336,29.487,1.020
0%,28.225,28.919,29.424,0.507
0%,28.978,100.328,139.581,50.537
0%,28.377,56.086,94.618,28.104
0%,25.064,58.913,124.352,46.281
0%,28.326,29.213,29.832,0.643
0%,27.711,28.346,28.701,0.450
0%,27.154,28.211,28.855,0.753
0%,28.629,71.166,96.439,30.255
0%,26.708,58.056,120.486,44.144
0%,28.112,28.268,28.424,0.127
0%,28.264,28.564,29.035,0.337
0%,28.888,29.956,30.609,0.761
0%,26.427,27.574,29.138,1.145
0%,26.770,27.177,27.958,0.552
0%,28.287,28.412,28.655,0.171
0%,25.616,25.977,26.657,0.480
0%,26.538,27.208,28.139,0.678
0%,27.950,28.377,28.938,0.414
0%,28.100,63.557,103.727,31.053
0%,27.883,36.304,48.710,8.957
0%,66.746,92.016,111.009,18.607
0%,50.672,58.220,68.505,7.532
0%,27.738,28.184,28.453,0.317
0%,26.218,26.351,26.511,0.121
0%,24.433,25.209,26.156,0.713
0%,24.544,24.732,24.882,0.140
0%,24.364,24.661,25.212,0.389
0%,24.408,24.640,24.848,0.180
0%,24.548,24.860,25.288,0.313
0%,24.373,24.581,24.772,0.163
0%,25.551,26.219,26.592,0.473
0%,26.759,28.085,29.486,1.114
0%,32.327,55.787,89.526,24.456
0%,98.347,106.298,115.836,7.227
0%,66.706,86.409,109.965,17.869
0%,94.421,107.834,119.295,10.248
0%,25.894,26.432,26.914,0.418
0%,26.057,26.914,27.729,0.683
0%,24.686,24.815,25.019,0.145
0%,24.519,25.029,25.326,0.362
33,3333%,25.029,25.195,25.361,0.166
0%,24.627,25.011,25.777,0.541
0%,26.442,26.692,26.839,0.178
0%,25.913,26.476,27.011,0.448
0%,24.384,24.592,24.905,0.224
0%,24.634,25.080,25.467,0.342
0%,24.414,24.494,24.578,0.067
0%,24.687,25.315,26.477,0.822
0%,24.701,24.970,25.355,0.279
0%,24.825,24.886,24.918,0.043
0%,24.611,24.761,24.870,0.109
0%,24.944,27.819,32.887,3.594
0%,24.945,25.166,25.386,0.180
0%,24.779,27.199,29.835,2.069
0%,24.931,25.093,25.196,0.116
0%,24.789,24.948,25.239,0.206
0%,24.686,25.037,25.540,0.364
0%,24.681,25.408,26.644,0.878
0%,24.390,25.803,27.064,1.096
0%,28.295,29.506,31.730,1.574
0%,101.438,112.586,122.371,8.600
0%,93.831,101.056,106.579,5.341
0%,95.975,110.674,120.124,10.534
0%,102.836,113.394,123.435,8.417
0%,26.152,27.307,28.219,0.861
0%,26.393,27.212,27.944,0.636
0%,26.925,27.022,27.084,0.069
0%,24.879,25.094,25.310,0.175
0%,24.976,25.157,25.449,0.208
0%,24.859,25.207,25.616,0.311
0%,25.125,27.110,30.696,2.540
0%,25.936,26.131,26.509,0.267
0%,24.186,24.751,25.195,0.420
0%,24.606,26.616,29.725,2.229
0%,24.528,25.351,26.158,0.665
0%,24.582,24.813,25.064,0.197
0%,25.278,26.715,27.730,1.044
0%,26.799,28.119,28.804,0.933
0%,106.856,110.254,115.189,3.571
0%,26.410,27.326,28.810,1.058
0%,97.246,107.734,122.718,10.873
0%,111.853,118.160,122.992,4.665
0%,92.409,105.642,124.279,13.560
0%,26.059,26.741,27.290,0.511
0%,24.947,25.581,26.431,0.624
0%,25.437,33.870,49.935,11.364
0%,24.625,24.905,25.306,0.290
0%,24.705,25.217,25.749,0.426
0%,24.485,25.085,25.949,0.626
0%,24.517,25.004,25.643,0.471
0%,24.522,30.645,42.268,8.222
0%,24.400,26.525,29.683,2.276
0%,28.484,28.541,28.652,0.078
33,3333%,27.069,27.147,27.226,0.078
0%,104.402,105.878,107.120,1.121
0%,27.050,28.507,31.195,1.902
0%,96.455,112.017,124.796,11.736
