loss,min,avg,max,mdev
0%,28.741,29.713,30.313,0.693
0%,27.208,27.732,28.244,0.423
0%,25.826,26.746,28.547,1.273
0%,27.993,28.954,29.463,0.680
0%,28.312,29.513,31.031,1.132
0%,26.241,26.276,26.295,0.025
0%,25.621,25.914,26.107,0.210
0%,25.829,26.156,26.406,0.241
0%,26.629,27.247,28.270,0.728
0%,28.449,64.453,134.867,49.794
0%,25.695,49.631,97.331,33.728
0%,26.612,27.666,28.290,0.749
0%,25.771,27.778,29.537,1.547
0%,28.252,30.554,31.754,1.628
0%,108.911,109.726,110.503,0.650
0%,97.194,106.930,115.656,7.570
0%,27.323,54.248,107.171,37.423
0%,111.868,119.808,126.544,6.051
0%,104.765,107.708,110.727,2.434
0%,74.477,78.810,83.536,3.708
0%,118.478,122.911,125.695,3.169
0%,58.676,64.098,68.766,4.153
0%,47.065,53.436,59.617,5.126
0%,27.944,28.218,28.618,0.289
0%,26.143,27.006,27.999,0.763
0%,25.967,26.598,27.611,0.723
0%,26.346,26.852,27.829,0.690
0%,26.630,68.420,108.214,33.336
0%,26.169,27.015,28.520,1.066
0%,25.669,25.882,26.215,0.238
0%,25.632,27.199,28.558,1.203
0%,25.798,26.581,27.764,0.850
0%,30.209,30.611,31.327,0.507
0%,28.615,28.799,28.933,0.134
0%,92.233,106.400,119.528,11.167
0%,90.301,93.171,97.180,2.921
0%,67.244,92.742,111.852,18.762
0%,100.655,104.501,106.707,2.729
0%,110.796,118.063,126.569,6.498
0%,109.400,111.220,114.077,2.045
0%,109.566,114.113,120.429,4.607
0%,96.644,109.525,128.280,13.566
0%,98.190,108.028,120.546,9.321
0%,29.715,30.038,30.263,0.234
0%,25.309,26.466,28.323,1.326
0%,25.496,30.192,39.379,6.496
0%,25.512,26.111,26.788,0.523
0%,25.539,25.592,25.669,0.055
0%,25.348,26.016,26.451,0.479
0%,25.510,25.889,26.458,0.409
0%,25.806,26.610,27.741,0.822
0%,25.620,27.077,27.932,1.035
0%,30.869,31.176,31.601,0.310
0%,96.746,109.451,128.194,13.529
0%,29.142,30.109,31.294,0.891
0%,70.590,108.667,133.371,27.318
0%,92.600,95.332,99.970,3.296
0%,91.760,106.389,126.684,14.809
0%,87.578,103.012,121.859,14.201
0%,108.553,110.567,113.553,2.153
0%,98.115,116.466,127.584,13.073
0%,101.293,114.689,128.501,11.111
0%,107.262,108.204,109.978,1.255
0%,27.837,28.112,28.380,0.221
0%,28.176,30.629,32.769,1.888
0%,25.585,25.835,26.031,0.186
0%,26.003,27.167,28.432,0.994
0%,25.967,26.281,26.532,0.234
0%,25.630,26.302,26.962,0.543
0%,25.613,27.451,29.331,1.518
0%,25.111,25.555,25.990,0.358
0%,28.152,28.257,28.385,0.096
0%,105.553,117.034,127.542,9.003
0%,102.859,105.437,107.899,2.059
0%,80.812,89.366,95.591,6.254
0%,28.259,64.694,137.120,51.212
0%,98.402,109.842,125.904,11.693
0%,96.157,102.494,105.726,4.481
0%,96.206,110.356,122.647,10.874
0%,38.702,44.407,49.842,4.551
0%,44.824,50.646,56.518,4.774
0%,39.837,45.535,50.880,4.515
0%,43.596,49.097,54.645,4.510
0%,32.700,34.846,36.188,1.533
0%,31.910,33.819,36.798,2.134
0%,48.171,49.925,51.127,1.268
0%,25.978,26.326,26.612,0.262
0%,25.674,25.879,26.189,0.222
0%,25.485,26.077,26.938,0.622
0%,25.746,29.831,36.685,4.876
0%,25.728,26.136,26.461,0.304
0%,28.802,29.949,30.644,0.817
0%,28.188,35.063,47.548,8.843
0%,93.894,112.717,125.635,13.614
0%,93.717,106.174,122.973,12.332
0%,109.772,112.086,115.676,2.573
0%,108.407,110.434,112.879,1.849
0%,115.090,121.466,126.564,4.770
0%,92.719,105.635,122.510,12.480
0%,110.879,114.783,120.121,3.906
0%,95.051,101.200,105.907,4.547
0%,57.692,62.405,68.186,4.350
0%,101.257,112.209,124.290,9.436
0%,28.300,28.848,29.647,0.577
0%,30.003,31.528,34.089,1.821
0%,30.324,33.841,38.527,3.449
0%,28.856,29.975,30.643,0.796
0%,28.709,29.370,29.811,0.476
0%,29.987,30.064,30.218,0.108
0%,32.306,32.696,32.980,0.285
0%,30.735,31.571,32.038,0.592
0%,28.695,29.961,30.688,0.898
0%,28.484,29.521,30.267,0.756
0%,28.220,29.480,31.591,1.501
0%,29.194,30.488,31.910,1.112
0%,28.930,30.263,32.616,1.668
0%,31.383,33.548,35.080,1.574
0%,30.493,30.694,30.986,0.211
0%,29.308,29.992,30.622,0.537
0%,28.775,29.607,30.723,0.820
0%,28.099,28.898,29.979,0.792
0%,30.369,37.426,42.363,5.121
0%,28.504,34.047,43.511,6.724
0%,28.758,65.610,137.586,50.899
0%,29.639,94.828,128.986,46.113
0%,28.848,29.319,30.131,0.576
0%,28.851,30.082,30.946,0.893
0%,29.821,30.590,31.610,0.751
0%,29.457,30.250,30.841,0.583
0%,30.299,30.403,30.476,0.075
0%,28.629,29.815,32.100,1.616
0%,28.573,29.067,29.831,0.547
0%,27.914,29.683,30.650,1.252
0%,26.262,27.286,28.557,0.953
0%,28.237,28.926,29.912,0.715
0%,28.605,29.379,30.798,1.004
0%,28.804,29.997,30.783,0.857
0%,28.894,29.405,30.277,0.619
0%,29.866,30.272,30.515,0.289
0%,28.435,29.643,30.528,0.884
0%,28.539,29.359,30.505,0.834
0%,27.960,28.652,29.769,0.797
0%,28.665,29.390,30.196,0.627
0%,28.914,29.465,30.093,0.484
0%,28.779,49.806,91.679,29.608
0%,28.141,29.776,30.692,1.159
0%,27.885,29.758,31.112,1.367
0%,29.421,30.080,30.563,0.482
0%,28.330,29.712,30.558,0.985
0%,30.629,30.842,30.983,0.153
0%,28.124,28.211,28.274,0.063
0%,28.377,29.189,29.964,0.648
0%,28.518,29.302,30.568,0.903
0%,28.883,30.458,32.159,1.340
0%,30.057,30.851,31.554,0.614
0%,28.746,30.363,31.823,1.261
0%,28.458,30.072,31.722,1.332
0%,28.121,29.631,32.167,1.803
0%,28.511,29.733,30.453,0.868
0%,28.657,29.723,30.572,0.796
0%,28.313,28.907,29.602,0.530
0%,28.226,29.375,30.272,0.854
0%,29.048,29.932,30.394,0.625
0%,30.483,30.922,31.321,0.343
0%,28.631,29.615,30.366,0.727
0%,27.766,60.728,126.170,46.274
0%,98.871,110.939,122.331,9.589
0%,97.997,111.587,123.083,10.347
0%,102.182,115.039,125.911,9.788
0%,105.656,108.079,109.320,1.713
0%,73.173,77.908,83.430,4.224
0%,97.168,114.433,127.703,12.782
0%,108.220,109.444,111.710,1.603
0%,92.890,110.290,124.823,13.193
0%,107.770,111.127,117.445,4.469
0%,33.486,38.765,45.037,4.767
