loss,min,avg,max,mdev
0%,103.075,111.204,118.607,6.361
0%,97.974,111.036,122.029,9.928
0%,29.976,76.330,110.331,33.947
0%,104.340,108.179,112.299,3.255
0%,27.556,27.795,28.222,0.302
0%,27.711,28.113,28.636,0.387
0%,27.269,27.421,27.626,0.150
0%,27.676,27.948,28.092,0.192
0%,27.560,27.825,28.159,0.249
0%,27.248,28.396,29.812,1.063
0%,27.186,27.461,27.921,0.327
0%,27.190,27.675,28.267,0.446
0%,27.572,27.976,28.410,0.342
0%,27.258,27.572,27.805,0.230
0%,27.507,28.318,29.465,0.833
0%,80.777,89.187,102.647,9.615
0%,78.076,83.684,89.976,4.882
0%,107.686,115.183,122.137,5.912
0%,63.159,89.167,108.408,19.082
0%,99.230,111.887,123.237,9.844
0%,26.913,42.812,73.401,21.635
0%,27.428,28.326,30.033,1.207
0%,26.885,27.380,27.670,0.351
0%,27.432,29.809,33.008,2.349
0%,27.539,28.042,28.946,0.640
0%,26.996,28.177,29.997,1.305
0%,28.074,28.873,30.354,1.047
0%,95.500,97.963,102.097,2.941
0%,98.318,110.995,121.800,9.677
0%,57.791,89.840,105.876,22.662
0%,108.608,114.910,122.676,5.835
0%,104.881,109.263,113.806,3.645
0%,26.800,27.964,29.349,1.052
0%,26.580,27.269,27.637,0.487
0%,26.794,27.589,28.263,0.605
0%,27.690,28.555,30.156,1.133
0%,64.764,75.879,88.954,9.972
0%,27.639,35.710,50.743,10.639
0%,95.326,103.080,112.626,7.175
0%,105.533,110.787,117.398,4.937
0%,99.112,110.404,120.496,8.771
0%,106.085,112.186,118.766,5.188
0%,71.066,92.952,119.544,20.068
0%,26.984,27.064,27.144,0.065
0%,27.529,27.604,27.724,0.085
0%,27.008,28.175,29.245,0.915
0%,26.797,27.193,27.571,0.316
0%,80.619,90.384,103.370,9.563
0%,99.202,109.486,118.851,8.047
0%,102.172,103.243,103.798,0.757
0%,98.554,101.778,103.485,2.281
0%,91.880,98.087,102.684,4.555
0%,90.148,96.742,102.496,5.076
0%,27.604,28.084,28.786,0.507
0%,27.601,27.646,27.732,0.060
0%,26.976,27.507,28.236,0.533
0%,27.752,29.119,30.327,1.057
0%,28.872,29.320,29.743,0.356
0%,85.895,94.494,101.037,6.350
0%,103.075,104.285,105.814,1.140
0%,27.892,74.856,103.218,33.446
0%,103.181,103.745,104.220,0.428
0%,89.342,103.097,120.200,12.818
0%,52.292,79.757,96.602,19.586
0%,104.646,106.262,108.154,1.445
0%,27.165,28.773,31.766,2.118
0%,27.210,28.380,30.316,1.378
0%,27.094,27.243,27.401,0.125
0%,26.762,27.125,27.493,0.298
0%,93.878,106.687,119.072,10.289
0%,104.361,107.581,110.645,2.567
0%,95.320,99.757,103.326,3.325
0%,99.940,111.629,122.755,9.322
0%,98.504,101.431,104.190,2.324
0%,105.355,109.222,114.175,3.681
0%,29.299,29.921,30.989,0.758
0%,28.850,29.510,29.890,0.468
0%,29.184,30.585,32.775,1.568
0%,27.983,28.731,29.218,0.536
0%,28.136,29.122,29.687,0.699
0%,28.057,28.953,29.583,0.651
0%,29.459,29.784,29.989,0.232
0%,27.514,28.832,29.557,0.933
0%,27.333,28.175,29.329,0.844
0%,27.990,29.043,30.221,0.915
0%,29.797,30.028,30.365,0.243
0%,29.905,30.403,30.912,0.411
0%,30.109,30.249,30.525,0.195
0%,28.484,29.499,30.278,0.751
0%,27.961,29.185,29.940,0.873
0%,29.940,30.521,31.099,0.473
0%,28.330,29.296,30.187,0.759
0%,28.058,28.637,29.563,0.661
0%,29.512,29.953,30.238,0.316
0%,27.714,38.390,57.939,13.842
0%,29.799,30.237,30.884,0.466
