"myFile","V2","V3"
"pathData_I1_UB","mc","0.05"
"pathData_I1_UB","mc","2e-04"
"pathData_I1_UB","mc","-0.9"
"pathData_I1_UB","mc","large"
"pathData_I1_UB","mr","0.05"
"pathData_I1_UB","mr","2e-04"
"pathData_I1_UB","mr","-0.9"
"pathData_I1_UB","mr","large"
"pathData_I1_UB","cr","0.5"
"pathData_I1_UB","cr","1"
"pathData_I1_UB","cr","0"
"pathData_I1_UB","cr","negligible"
"pathData_I1_B","mc","0.31"
"pathData_I1_B","mc","0.1116"
"pathData_I1_B","mc","-0.39"
"pathData_I1_B","mc","medium"
"pathData_I1_B","mr","0.29"
"pathData_I1_B","mr","0.0878"
"pathData_I1_B","mr","-0.42"
"pathData_I1_B","mr","medium"
"pathData_I1_B","cr","0.43"
"pathData_I1_B","cr","0.588"
"pathData_I1_B","cr","-0.14"
"pathData_I1_B","cr","negligible"
"pathData_I2_UB","mc","0.01"
"pathData_I2_UB","mc","1e-04"
"pathData_I2_UB","mc","-0.98"
"pathData_I2_UB","mc","large"
"pathData_I2_UB","mr","0.04"
"pathData_I2_UB","mr","2e-04"
"pathData_I2_UB","mr","-0.93"
"pathData_I2_UB","mr","large"
"pathData_I2_UB","cr","0.38"
"pathData_I2_UB","cr","0.3338"
"pathData_I2_UB","cr","-0.24"
"pathData_I2_UB","cr","small"
"pathData_I2_B","mc","0.13"
"pathData_I2_B","mc","0.0023"
"pathData_I2_B","mc","-0.74"
"pathData_I2_B","mc","large"
"pathData_I2_B","mr","0.45"
"pathData_I2_B","mr","0.6982"
"pathData_I2_B","mr","-0.1"
"pathData_I2_B","mr","negligible"
"pathData_I2_B","cr","0.7"
"pathData_I2_B","cr","0.1147"
"pathData_I2_B","cr","0.4"
"pathData_I2_B","cr","medium"
