"myFile","V2","V3"
"pathData_I1_UB","mc","0.12"
"pathData_I1_UB","mc","0.0864"
"pathData_I1_UB","mc","-0.75"
"pathData_I1_UB","mc","large"
"pathData_I1_UB","mr","0.12"
"pathData_I1_UB","mr","0.0864"
"pathData_I1_UB","mr","-0.75"
"pathData_I1_UB","mr","large"
"pathData_I1_UB","cr","0.5"
"pathData_I1_UB","cr","1"
"pathData_I1_UB","cr","0"
"pathData_I1_UB","cr","negligible"
"pathData_I1_B","mc","0"
"pathData_I1_B","mc","0.0194"
"pathData_I1_B","mc","-1"
"pathData_I1_B","mc","large"
"pathData_I1_B","mr","0"
"pathData_I1_B","mr","0.0194"
"pathData_I1_B","mr","-1"
"pathData_I1_B","mr","large"
"pathData_I1_B","cr","0"
"pathData_I1_B","cr","0.0131"
"pathData_I1_B","cr","-1"
"pathData_I1_B","cr","large"
"pathData_I2_UB","mc","0"
"pathData_I2_UB","mc","0.0194"
"pathData_I2_UB","mc","-1"
"pathData_I2_UB","mc","large"
"pathData_I2_UB","mr","0.19"
"pathData_I2_UB","mr","0.1336"
"pathData_I2_UB","mr","-0.62"
"pathData_I2_UB","mr","large"
"pathData_I2_UB","cr","0.88"
"pathData_I2_UB","cr","0.0603"
"pathData_I2_UB","cr","0.75"
"pathData_I2_UB","cr","large"
"pathData_I2_B","mc","0"
"pathData_I2_B","mc","0.0247"
"pathData_I2_B","mc","-1"
"pathData_I2_B","mc","large"
"pathData_I2_B","mr","0"
"pathData_I2_B","mr","0.0247"
"pathData_I2_B","mr","-1"
"pathData_I2_B","mr","large"
"pathData_I2_B","cr","0.75"
"pathData_I2_B","cr","0.2471"
"pathData_I2_B","cr","0.5"
"pathData_I2_B","cr","large"
